编号,名称,模型,名称方式,备注,抵抗封印等级,封印命中等级,血量加成,伤害加成,法伤加成,速度加成,防御加成,法防加成,治疗能力,固定伤害,AI战斗,门派,主动技能,特技,法宝技能,法宝佩戴,技能,技能目标数,招式特效,武器名称,武器等级,角色,可捕捉,变身数据,变异,特殊变异,饰品显示,饰品颜色,附加阵法,主怪,共生,炫彩,炫彩组
10246,福禄仙人,葫芦宝贝,1,年兽,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10247,福牛,踏云兽,1,年兽,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10248,洪福齐天,般若天女,1,年兽,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10249,团员如意,琴仙,1,年兽,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10250,熊熊烈火,进阶古代瑞兽,1,年兽,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10251,烈焰,进阶古代瑞兽,1,年兽,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10252,鹏先锋,超级大鹏,1,年兽,0,0,4,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|高级反击|高级反震,,,,,,,,,,,,,,,,
10253,蚩尤,蚩尤,1,蚩尤邪神,100,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=false|重生=true,,武神之怒|刀光剑影|毁灭之光,,,,高级夜战|,,,,,,,,,,,,boss阵法1,蚩尤,,,
10254,搻兹,进阶蝎子精,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,电芒|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10255,后土,进阶净瓶女娲,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,血沸|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10256,强良,进阶巨力神猿,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,猛击|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10257,奢比尸,进阶吸血鬼,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10258,祝融,进阶黑山老妖,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,怒火|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10259,共工,进阶蚌精,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,寒冰监牢|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10260,玄冥,进阶雨师,1,蚩尤邪神,30,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,归墟|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10261,蓐收,进阶雾中仙,1,蚩尤邪神,30,100,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,秘传封印|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10262,天昊,进阶蛟龙,1,蚩尤邪神,0,0,80000,1.5,2.5,2,1,1,0,0,方式=智能战斗|参数=0|击飞=false|行动=true,,怒击|,,,,高级夜战|,,,,,,,,,,,,boss阵法1,,,,
10263,寿桃|苹果|馒头|包子|西瓜|香梨,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10264,供品,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10265,车迟斗法主怪,,2,车迟副本,0,0,7,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10266,护卫,天兵,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10267,护法,天将,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10268,喽啰,山贼,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10269,肺,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10270,肝,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10271,心,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10272,脾,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10273,肾,泡泡,1,车迟副本,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,烈火|反击|高级夜战,,,,,,,,,,,,,,,,
10274,五方鬼帝,,2,轮回镜,0,0,50000,1,1,3,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,阎罗拘魂|,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,阎罗王,五方鬼帝
10275,东方鬼帝,阎罗王,1,轮回镜,30,100,35000,1,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,五庄观,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,阎罗王,五方鬼帝
10276,西方鬼帝,阎罗王,1,轮回镜,30,0,35000,1,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,尸腐无常|,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,阎罗王,五方鬼帝
10277,南方鬼帝,阎罗王,1,轮回镜,30,0,35000,2,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,六道无情|,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,阎罗王,五方鬼帝
10278,北方鬼帝,阎罗王,1,轮回镜,30,0,35000,2,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,六道无情|,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,阎罗王,五方鬼帝
10279,九灵元圣,,2,轮回镜,30,0,50000,2,1,3,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10280,狻猊狮,进阶古代瑞兽,1,轮回镜,30,100,25000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,五庄观,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶古代瑞兽,狻猊狮
10281,抟象狮,进阶古代瑞兽,1,轮回镜,30,0,25000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶古代瑞兽,抟象狮
10282,伏狸狮,进阶古代瑞兽,1,轮回镜,30,0,25000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶古代瑞兽,伏狸狮
10283,白泽狮,进阶古代瑞兽,1,轮回镜,30,0,25000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶古代瑞兽,白泽狮
10284,猱狮,进阶古代瑞兽,1,轮回镜,30,0,25000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶古代瑞兽,猱狮
10285,雪狮,进阶古代瑞兽,1,轮回镜,30,0,25000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶古代瑞兽,雪狮
10286,,,2,轮回镜,30,0,40000,1,1,3,1,1,0,1000,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,普陀山,,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10287,沉香,进阶大力金刚,1,轮回镜,30,100,50000,1,1,3,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,五庄观,,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10288,宝莲灯灵,进阶凤凰,1,轮回镜,30,0,35000,1,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,普陀山,,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,普渡众生=10|地裂火=6,普渡众生=true|地裂火=true,,,,,,,,,,,,,,
10289,金甲力士,进阶天将,1,轮回镜,30,0,25000,1,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,摄魄|破碎无双,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10290,,,2,轮回镜,30,0,100000,1.5,2,3,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,烈火焚原|,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,烈火焚原=3|,,,,,,,,,,,,,,进阶天兵,番茄红
10291,北斗星君,进阶天兵,1,轮回镜,30,0,100000,1.5,2,3,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,冰封千里|,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,冰封千里=5|,,,,,,,,,,,,,,进阶天兵,青色
10292,天龙八部,进阶金身罗汉,1,轮回镜,30,0,50000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|召唤=7|击飞=false|行动=false,,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,天龙八部,,,
10293,迦楼罗,进阶灵鹤,1,轮回镜,100,0,15000,1.5,2,3,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,七宝玲珑灯|,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶灵鹤,森林绿
10294,夜叉,进阶碧水夜叉,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10295,紧那罗,进阶红萼仙子,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|魔王寨,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶红萼仙子,青绿色
10296,紧那罗,进阶红萼仙子,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|魔王寨,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶红萼仙子,橘黄
10297,摩呼罗伽,进阶巴蛇,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶巴蛇,蓝色
10298,摩呼罗伽,进阶巴蛇,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶巴蛇,黄色
10299,摩呼罗伽,进阶巴蛇,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶巴蛇,橘黄
10300,摩呼罗伽,进阶巴蛇,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶巴蛇,金黄
10301,摩呼罗伽,进阶巴蛇,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶巴蛇,猛蓝
10302,阿修罗,进阶修罗傀儡妖,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶修罗傀儡鬼,黄色
10303,乾达婆,进阶星灵仙子,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,上古灵符|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶星灵仙子,土耳其蓝
10304,天众,进阶雨师,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶雨师,天蓝灰
10305,天众,进阶雨师,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,魔王寨|龙宫,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶雨师,蓝色
10306,龙众,进阶鲛人,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶鲛人,黄色
10307,龙众,进阶鲛人,1,轮回镜,30,0,15000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶鲛人,土耳其蓝
10308,无量仙人,进阶风伯,1,轮回镜,30,0,40000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,龙宫,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶风伯,灰色
10309,无量仙人,进阶风伯,1,轮回镜,30,0,40000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,化生寺,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶风伯,番茄红
10310,无量仙人,进阶风伯,1,轮回镜,30,0,40000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true|AI类型=辅助,五庄观,,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶风伯,土耳其蓝
10311,无量仙人,进阶风伯,1,轮回镜,30,0,40000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,破碎无双|,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶风伯,灰色
10312,无量仙人,进阶风伯,1,轮回镜,30,0,40000,1.5,2,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,破碎无双|,,,,高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,进阶风伯,森林绿
10313,自在天魔,自在天魔,1,轮回镜,30,0,50000,1.5,2,3,1,1,0,0,方式=智能战斗|参数=0|召唤=8|击飞=true|行动=false,龙宫,,,,,高级夜战|,,,,,,,,,,,,自在天魔阵法,自在天魔,,,
10314, ,自在天魔法杖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10315, ,自在天魔刀,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10316, ,自在天魔弓弩,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10317, ,自在天魔经筒,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10318, ,自在天魔宝剑,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10319, ,自在天魔斧钺,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10320, ,自在天魔法杖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,,
10321,心魔?破军,进阶狂豹人形,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,善恶有报|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10322,嗜血狂魔,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10323,巫影祭祀,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10324,浴血豪侠,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10325,清心羽容,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10326,平天大圣,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10327,海中蛟扎,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10328,鬼魂阎罗,蜃气妖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,力劈华山|高级反击|高级感知|高级夜战,,,,,,,,,,,,,,,,
10329, ,自在天魔法杖,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,自在天魔,金黄
10330, ,自在天魔刀,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,自在天魔,金黄
10331, ,自在天魔弓弩,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,自在天魔,金黄
10332, ,自在天魔经筒,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,自在天魔,金黄
10333, ,自在天魔宝剑,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,自在天魔,金黄
10334, ,自在天魔斧钺,1,轮回镜,30,0,15000,1.5,1,2,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,,,,,,高级夜战|,,,,,,,,,,,,,,,自在天魔,金黄
10335,,夜罗刹,2,鬼王,0,0,22,1,1,1,1,2,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10336,,进阶夜罗刹,2,鬼王,0,0,22,1,1,1,1,2,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10337,,鬼将,2,鬼王,0,0,13,1,1,1,2,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10338,,进阶鬼将,2,鬼王,0,0,13,1,1,1,2,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10339,,炎魔神,2,鬼王,0,0,7,1,1,1,1.5,1.5,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10340,,进阶炎魔神,2,鬼王,0,0,7,1,1,1,1.5,1.5,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10341,,幽灵,2,鬼王,0,0,22,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10342,,进阶幽灵,2,鬼王,0,0,22,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10343,,吸血鬼,2,鬼王,0,0,33,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10344,,进阶吸血鬼,2,鬼王,0,0,33,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|阴曹地府,,,,,高级夜战|,,,,,,,,,,,,,,,,
10345,厉鬼帮凶,取随机怪,3,鬼王,0,0,5,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,狮驼岭|阴曹地府|盘丝洞|魔王寨,,,,,高级夜战|,,,,,,,,,,,,,,,,
10346,小小怪物,阴阳伞,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10347,喽啰,阴阳伞,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10348,山怪怪,机关鸟,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10349,山妖妖,机关兽,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10350,贪喝怪,龟丞相|蟹将,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10351,贪吃怪,花妖|僵尸,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10352,贪睡怪,赌徒|山贼,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10353,千年柿树精,树怪,1,七绝山,0,0,10,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10354,无巢,野鬼,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10355,硕枝,机关人人形,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10356,霜叶,葫芦宝贝,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10357,嘉实,长眉灵猴,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10358,蔽日,藤蔓妖花,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10359,无虫,百足将军,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10360,小怪,百足将军|吸血鬼|鼠先锋|野猪精,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10361,护蛇小妖,灵符女娲|净瓶女娲,1,七绝山,0,0,3,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,阴曹地府|五庄观|天宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10362,蛇妖分身,千年蛇魅,1,七绝山,0,0,6,1.2,1.5,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
10363,蛇妖护法,巴蛇,1,七绝山,0,0,6,1,1,1,1,1,0,0,方式=智能战斗|参数=0|击飞=true|行动=true,大唐官府|狮驼岭|凌波城|神木林|魔王寨|龙宫,,,,,高级夜战|,,,,,,,,,,,,,,,,
